,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
179,20101018,논현로 시점에서 106번째 분기된 도로,16,Nonhyeon-ro 106-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 650-18,1,896,역삼동 656-20,논현로106길,4166110,4.0,73.0,4,11680,3,"[(127.03674863031408, 37.50662605090695), (127.03703954729859, 37.506014979190134)]"
180,20101018,논현로 시점에서 106번째 분기된 도로,16,Nonhyeon-ro 106-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 650-18,1,897,역삼동 656-20,논현로106길,4166110,4.0,73.0,4,11680,3,"[(127.0364133822491, 37.50652688749658), (127.03669811408213, 37.50591355693222)]"
181,20101018,논현로 시점에서 106번째 분기된 도로,16,Nonhyeon-ro 106-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 650-18,1,898,역삼동 656-20,논현로106길,4166110,4.0,73.0,4,11680,3,"[(127.03606317011206, 37.50642329460108), (127.0363597924, 37.50581306079567)]"
182,20101018,논현로 시점에서 106번째 분기된 도로,16,Nonhyeon-ro 106-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,역삼동 650-18,1,899,역삼동 656-20,논현로106길,4166110,4.0,73.0,4,11680,3,"[(127.03572637420369, 37.50632367018107), (127.03601244522424, 37.50570988135048)]"
183,20101018,언주로 시점에서 103번째 분기된 도로,16,Eonju-ro 103-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 662-7,1,900,역삼동 660-31,언주로103길,4166559,4.0,60.0,4,11680,3,"[(127.03852622060857, 37.50645657932693), (127.03876036548125, 37.50595001885629)]"
184,20101018,언주로 시점에서 99번째 분기된 도로,16,Eonju-ro 99-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-14,1,901,역삼동 663-19,언주로99길,4166627,4.0,54.0,4,11680,3,"[(127.0400030104498, 37.505743147897775), (127.0402093585365, 37.50528671606206)]"
185,20101018,언주로 시점에서 99번째 분기된 도로,16,Eonju-ro 99-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-14,1,902,역삼동 663-19,언주로99길,4166627,4.0,56.0,4,11680,3,"[(127.0396958485799, 37.50565284144323), (127.03991462087771, 37.50518328756936)]"
186,20101018,언주로 시점에서 99번째 분기된 도로,16,Eonju-ro 99-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-14,1,903,역삼동 663-19,언주로99길,4166627,4.0,60.0,4,11680,3,"[(127.03901077451746, 37.505451435558776), (127.03924847785471, 37.50494953106509)]"
187,20101018,언주로 시점에서 104번째 분기된 도로,16,Eonju-ro 104-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 688-6,1,904,역삼동 693-14,언주로104길,4166560,4.0,73.0,4,11680,3,"[(127.04143012135604, 37.50732117728575), (127.04113763417823, 37.50794190988226)]"
188,20101018,언주로 시점에서 104번째 분기된 도로,16,Eonju-ro 104-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 688-6,1,905,역삼동 693-14,언주로104길,4166560,4.0,78.0,4,11680,3,"[(127.04138836960779, 37.507308703558365), (127.04192963841736, 37.50675606392436)]"
189,20101018,언주로 시점에서 104번째 분기된 도로,16,Eonju-ro 104-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225535,역삼동 688-6,1,906,역삼동 693-14,언주로104길,4166560,4.0,64.0,4,11680,3,"[(127.04188911999543, 37.507458261263764), (127.04232851351873, 37.50700160182797)]"
190,20101018,봉은사로 시점에서 48번째 분기된 도로,16,Bongeunsa-ro 48-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225534,역삼동 681-35,1,907,역삼동 691-33,봉은사로48길,4166355,5.0,81.0,4,11680,3,"[(127.04265770962954, 37.507204239135234), (127.04232851351873, 37.50700160182797), (127.04192963841736, 37.50675606392436)]"
191,20101018,언주로 시점에서 98번째 분기된 도로,16,Eonju-ro 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 689-12,1,908,역삼동 703-9,언주로98길,4166626,4.0,55.0,4,11680,3,"[(127.0436700235106, 37.50483935773036), (127.04380359086626, 37.505322362013324)]"
192,20101018,언주로 시점에서 98번째 분기된 도로,16,Eonju-ro 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 689-12,1,909,역삼동 703-9,언주로98길,4166626,4.0,55.0,4,11680,3,"[(127.0433407439559, 37.504899174890475), (127.04347419630666, 37.505382368791615)]"
193,20101018,언주로 시점에서 98번째 분기된 도로,16,Eonju-ro 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 689-12,1,910,역삼동 703-9,언주로98길,4166626,4.0,55.0,4,11680,3,"[(127.04300874983653, 37.50495947862458), (127.04314009686385, 37.50544323225676)]"
194,20101018,언주로 시점에서 98번째 분기된 도로,16,Eonju-ro 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 689-12,1,911,역삼동 703-9,언주로98길,4166626,4.0,55.0,4,11680,3,"[(127.04267560171434, 37.50501998905683), (127.04280914066115, 37.505503526049246)]"
195,20101018,선릉로 시점에서 103번째 분기된 도로,15,Seolleung-ro 103-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225534,역삼동 694-34,1,912,역삼동 698-20,선릉로103길,4166439,4.0,104.0,4,11680,3,"[(127.04455172596762, 37.506623258790675), (127.04493076563936, 37.50639014912557), (127.04548466854058, 37.5060495022699)]"
196,20101018,선릉로 시점에서 103번째 분기된 도로,15,Seolleung-ro 103-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225534,역삼동 694-34,1,913,역삼동 698-20,선릉로103길,4166439,4.0,148.0,4,11680,3,"[(127.04534540144252, 37.50758052923707), (127.04639363065552, 37.506929074825734), (127.04618205247188, 37.50671419499157)]"
197,20101018,언주로 시점에서 85번째 분기된 도로,16,Eonju-ro 85-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 721-17,1,914,역삼동 725-25,언주로85길,4166618,6.0,118.0,4,11680,3,"[(127.04131594178368, 37.50087652968388), (127.04153926938099, 37.50040554731132), (127.04178672257815, 37.499883685870124)]"
198,20101018,테헤란로 시점에서 28번째 분기된 도로,16,Teheran-ro 28-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 718,1,968,역삼동 728-7,테헤란로28길,4166729,4.0,133.0,4,11680,3,"[(127.03860760371116, 37.500850200877316), (127.0400118507708, 37.501285834955695)]"
199,20101018,언주로 시점에서 93번째 분기된 도로,17,Eonju-ro 93-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 676,1,974,역삼동 678-5,언주로93길,4166623,4.0,77.0,4,11680,3,"[(127.04012887274358, 37.50340797225486), (127.03982674626906, 37.50405714967926)]"
200,20101018,언주로 시점에서 93번째 분기된 도로,17,Eonju-ro 93-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 676,1,975,역삼동 678-5,언주로93길,4166623,6.0,77.0,4,11680,3,"[(127.03977794086555, 37.50329383085103), (127.03947220420648, 37.50394323380064)]"
