ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","역삼로 시점에서 73번째 분기된 도로","16","Yeoksam-ro 73-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 905-19","0",582,"대치동 901-40","역삼로73길","4166659",6.000,218.000,"4","11680","3"
"20101018","역삼로 시점에서 77번째 분기된 도로","16","Yeoksam-ro 77-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 904-12","0",583,"대치동 894-5","역삼로77길","4166661",8.000,210.000,"4","11680","3"
"20101018","역삼로 시점에서 83번째 분기된 도로","15","Yeoksam-ro 83-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 960-19","0",584,"대치동 955","역삼로83길","4166665",8.000,208.000,"4","11680","3"
"20101018","역삼로 시점에서 87번째 분기된 도로","15","Yeoksam-ro 87-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 953-15","0",585,"대치동 954-2","역삼로87길","4166668",8.000,209.000,"4","11680","3"
"20101018","역삼로 시점에서 97번째 분기된 도로","16","Yeoksam-ro 97-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225537","대치동 952-2","0",586,"대치동 948-9","역삼로97길","4166673",8.000,169.000,"4","11680","3"
"20101018","역삼로 시점에서 2번째 분기된 도로","16","Yeoksam-ro 2-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 832-21","0",587,"역삼동 837-13","역삼로2길","4166643",4.000,175.000,"4","11680","3"
"20101018","역삼로 시점에서 4번째 분기된 도로","16","Yeoksam-ro 4-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 833","0",588,"역삼동 837-16","역삼로4길","4166649",10.000,175.000,"4","11680","3"
"20101018","역삼로 시점에서 8번째 분기된 도로","16","Yeoksam-ro 8-gil","20141030","직권수정(속성변경)","99","20101203","20190426160638","역삼동 834","0",589,"역삼동 835","역삼로8길","4166670",11.000,174.000,"4","11680","3"
"20101018","역삼로 시점에서 10번째 분기된 도로","16","Yeoksam-ro 10-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 834-6","0",590,"역삼동 834-40","역삼로10길","4166630",4.000,110.000,"4","11680","3"
"20101018","역삼로 시점에서 12번째 분기된 도로","16","Yeoksam-ro 12-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 834-44","0",591,"역삼동 835-69","역삼로12길","4166632",4.000,175.000,"4","11680","3"
